TIME wclk4 wclk0 wclk1 wclk2 wclk3 wctl2 wctl2 
 1.61246E-12  6.45131E-01 -1.51403E-03  6.99953E-01 -2.98949E-05  6.98990E-01  7.00000E-01  7.00000E-01 
 1.73820E-12  6.41376E-01 -1.61934E-03  6.99949E-01 -3.21950E-05  6.98911E-01  7.00000E-01  7.00000E-01 
 1.77157E-12  6.40379E-01 -1.64729E-03  6.99948E-01 -3.28055E-05  6.98890E-01  7.00000E-01  7.00000E-01 
 1.90874E-12  6.36289E-01 -1.75849E-03  6.99945E-01 -3.51857E-05  6.98806E-01  7.00000E-01  7.00000E-01 
 1.94266E-12  6.35278E-01 -1.78599E-03  6.99944E-01 -3.57744E-05  6.98786E-01  7.00000E-01  7.00000E-01 
 2.09032E-12  6.30881E-01 -1.90169E-03  6.99941E-01 -3.81849E-05  6.98697E-01  7.00000E-01  7.00000E-01 
 2.12798E-12  6.29760E-01 -1.93120E-03  6.99940E-01 -3.87997E-05  6.98675E-01  7.00000E-01  7.00000E-01 
 2.28526E-12  6.25084E-01 -2.05009E-03  6.99937E-01 -4.11913E-05  6.98583E-01  7.00000E-01  7.00000E-01 
 2.33010E-12  6.23751E-01 -2.08398E-03  6.99936E-01 -4.18732E-05  6.98557E-01  7.00000E-01  7.00000E-01 
 2.49590E-12  6.18827E-01 -2.20464E-03  6.99932E-01 -4.41945E-05  6.98463E-01  7.00000E-01  7.00000E-01 
 2.55210E-12  6.17159E-01 -2.24554E-03  6.99931E-01 -4.49812E-05  6.98431E-01  7.00000E-01  7.00000E-01 
 2.72496E-12  6.12031E-01 -2.36632E-03  6.99928E-01 -4.71774E-05  6.98336E-01  7.00000E-01  7.00000E-01 
 2.79792E-12  6.09867E-01 -2.41730E-03  6.99927E-01 -4.81043E-05  6.98296E-01  7.00000E-01  7.00000E-01 
 2.97570E-12  6.04599E-01 -2.53621E-03  6.99924E-01 -5.01174E-05  6.98201E-01  7.00000E-01  7.00000E-01 
 3.07272E-12  6.01723E-01 -2.60110E-03  6.99923E-01 -5.12160E-05  6.98150E-01  7.00000E-01  7.00000E-01 
 3.25224E-12  5.96409E-01 -2.71563E-03  6.99920E-01 -5.29856E-05  6.98058E-01  7.00000E-01  7.00000E-01 
 3.38350E-12  5.92523E-01 -2.79937E-03  6.99918E-01 -5.42795E-05  6.97992E-01  7.00000E-01  7.00000E-01 
 3.56001E-12  5.87302E-01 -2.90633E-03  6.99916E-01 -5.57458E-05  6.97906E-01  7.00000E-01  7.00000E-01 
 3.74007E-12  5.81977E-01 -3.01544E-03  6.99914E-01 -5.72416E-05  6.97818E-01  7.00000E-01  7.00000E-01 
 3.90629E-12  5.77065E-01 -3.11067E-03  6.99912E-01 -5.83514E-05  6.97742E-01  7.00000E-01  7.00000E-01 
 4.15669E-12  5.69667E-01 -3.25411E-03  6.99910E-01 -6.00233E-05  6.97626E-01  7.00000E-01  7.00000E-01 
 4.30122E-12  5.65402E-01 -3.33196E-03  6.99909E-01 -6.07413E-05  6.97564E-01  7.00000E-01  7.00000E-01 
 4.65550E-12  5.54947E-01 -3.52280E-03  6.99906E-01 -6.25015E-05  6.97410E-01  7.00000E-01  7.00000E-01 
 4.75958E-12  5.51880E-01 -3.57538E-03  6.99905E-01 -6.28419E-05  6.97369E-01  7.00000E-01  7.00000E-01 
 5.20911E-12  5.38635E-01 -3.80250E-03  6.99902E-01 -6.43124E-05  6.97188E-01  7.00000E-01  7.00000E-01 
 5.30453E-12  5.35827E-01 -3.84810E-03  6.99902E-01 -6.44894E-05  6.97152E-01  7.00000E-01  7.00000E-01 
 5.67056E-12  5.25060E-01 -4.02300E-03  6.99900E-01 -6.51685E-05  6.97015E-01  7.00000E-01  7.00000E-01 
 5.78135E-12  5.21806E-01 -4.07378E-03  6.99900E-01 -6.52605E-05  6.96976E-01  7.00000E-01  7.00000E-01 
 6.06111E-12  5.13590E-01 -4.20202E-03  6.99899E-01 -6.54929E-05  6.96877E-01  7.00000E-01  7.00000E-01 
 6.18491E-12  5.09961E-01 -4.25704E-03  6.99899E-01 -6.55018E-05  6.96836E-01  7.00000E-01  7.00000E-01 
 6.39671E-12  5.03751E-01 -4.35115E-03  6.99898E-01 -6.55169E-05  6.96765E-01  7.00000E-01  7.00000E-01 
 6.53407E-12  4.99731E-01 -4.41076E-03  6.99898E-01 -6.54475E-05  6.96721E-01  7.00000E-01  7.00000E-01 
 6.68587E-12  4.95289E-01 -4.47663E-03  6.99898E-01 -6.53708E-05  6.96672E-01  7.00000E-01  7.00000E-01 
 6.83594E-12  4.90906E-01 -4.54056E-03  6.99897E-01 -6.52275E-05  6.96625E-01  7.00000E-01  7.00000E-01 
 6.94206E-12  4.87806E-01 -4.58578E-03  6.99897E-01 -6.51261E-05  6.96593E-01  7.00000E-01  7.00000E-01 
 7.10304E-12  4.83113E-01 -4.65335E-03  6.99897E-01 -6.49138E-05  6.96544E-01  7.00000E-01  7.00000E-01 
 7.17339E-12  4.81063E-01 -4.68288E-03  6.99897E-01 -6.48211E-05  6.96523E-01  7.00000E-01  7.00000E-01 
 7.34428E-12  4.76091E-01 -4.75374E-03  6.99897E-01 -6.45440E-05  6.96474E-01  7.00000E-01  7.00000E-01 
 7.38541E-12  4.74895E-01 -4.77080E-03  6.99897E-01 -6.44774E-05  6.96462E-01  7.00000E-01  7.00000E-01 
 7.56536E-12  4.69671E-01 -4.84465E-03  6.99897E-01 -6.41395E-05  6.96411E-01  7.00000E-01  7.00000E-01 
 7.58232E-12  4.69179E-01 -4.85161E-03  6.99897E-01 -6.41076E-05  6.96406E-01  7.00000E-01  7.00000E-01 
 7.76700E-12  4.63829E-01 -4.92672E-03  6.99897E-01 -6.37199E-05  6.96355E-01  7.00000E-01  7.00000E-01 
 7.77065E-12  4.63724E-01 -4.92819E-03  6.99897E-01 -6.37115E-05  6.96355E-01  7.00000E-01  7.00000E-01 
 7.94165E-12  4.58783E-01 -4.99718E-03  6.99896E-01 -6.33192E-05  6.96309E-01  7.00000E-01  7.00000E-01 
 7.96320E-12  4.58161E-01 -5.00582E-03  6.99896E-01 -6.32661E-05  6.96303E-01  7.00000E-01  7.00000E-01 
 8.10801E-12  4.53987E-01 -5.06382E-03  6.99896E-01 -6.29089E-05  6.96265E-01  7.00000E-01  7.00000E-01 
 8.14530E-12  4.52915E-01 -5.07867E-03  6.99896E-01 -6.28112E-05  6.96256E-01  7.00000E-01  7.00000E-01 
